Action ID,Priority,Fix Owner,Fix Owner Confidence,Fix Owner Rationale,Work Type,DS Component,DS Source Path,Needs Component Triage,Issue Summary,WCAG SC,SC Title,WCAG 2.2 Level,Max Impact,Open Occurrences,Fixed Occurrences,Total Occurrences,Apps / Reports Affected,Affected Test Units,Recommended Remediation,Already Fixed in DS Version,CHANGELOG Evidence,Deque Rule ID,Findings Group ID,Issue IDs To Mark Fixed,Auditor Test Run URLs
DS-001,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",Yes — pin exact component before fixing,Required ARIA attributes must be provided,4.1.2,"Name, Role, Value",A,Critical,4,5,9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-required-attr,A11Y-012,"2339189, 2339190, 2339191, 2339192, 2339193, 2354492, 2354493, 2354494, 2354495",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-002,P1,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"Button forwards aria-label (Button.tsx:151) so the name is app-supplied, but role/name must also be correct on DS-rendered internal buttons (close, clear, sort).",Partially fixed — finish remaining occurrences,Button,core/components/atoms/button,No,Button does not have a role / Button is missing both a role and a name / Buttons must have discernible text,4.1.2,"Name, Role, Value",A,Critical,4,2,7,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Document | Header | How can we improve this article dialog,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,"button-missing-role, button-name, button-role-name-missing",A11Y-016,"2340839, 2345596, 2348723, 2354337, 2354339, 2354343, 2354604","https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510"
DS-003,P1,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"DS forwards aria-labelledby/-describedby, but several DS wrappers render the control without an associated <label>; app must pass a label and DS must guarantee the association.",Partially fixed — finish remaining occurrences,Input / Label,"core/components/atoms/input, core/components/atoms/label",Yes — pin exact component before fixing,Form elements must have labels,4.1.2,"Name, Role, Value",A,Critical,4,7,11,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Level of Access - Date Access tab | Own User details page | Roles,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,label,A11Y-007,"2339194, 2339311, 2346100, 2346101, 2346102, 2346103, 2350036, 2350037, 2350038, 2350039, 2354496",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-004,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Partially fixed — finish remaining occurrences,Interactive components (keyboard operability),,Yes — pin exact component before fixing,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,4,8,14,Innovaccer - User Admin and Help Guide Web Audit,Admin - Secondary Header | Admin Overview | Base Role | Help - DAP - Overview | Level of Access - Date Access tab | Level of Access - Permissions tab | Roles,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-004,"2338868, 2340031, 2340179, 2340404, 2340838, 2341132, 2341338, 2341658, 2341909, 2345102, 2350437, 2350445, 2353883, 2355687",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-005,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Avatar,core/components/atoms/avatar,No,Required ARIA attributes must be provided,4.1.2,"Name, Role, Value",A,Critical,3,0,3,Innovaccer - DAP and Analytics Web Audit - Retest,Cohort Builder,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-required-attr,A11Y-032,"2710766, 2710767, 2710768",https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa
DS-006,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Dropdown / Combobox,"core/components/atoms/dropdown, core/components/organisms/combobox",Yes — pin exact component before fixing,Combobox is missing appropriate roles and/or attributes,4.1.2,"Name, Role, Value",A,Critical,3,0,4,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Roles | Search Combobox | Search and fill out form,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,custom-combobox,A11Y-028,"2340029, 2342095, 2355207, 2355320",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-007,P1,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"Icon/Avatar accept aria-label and set role=""img"" (Icon.tsx:144), so the app must label informative graphics; DS should additionally default unlabelled non-interactive icons to aria-hidden so decorative ones stop announcing their ligature text.",Partially fixed — finish remaining occurrences,Icon / Avatar (image alt),"core/components/atoms/icon, core/components/atoms/avatar",Yes — pin exact component before fixing,Text alternative for the informative image is missing / The decorative image is not hidden from screen readers / Images must have alternative text / Text alternative does not present same info as image,1.1.1,Non-text Content,A,Critical,3,1,42,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Header | Help Center | Level of Access - Permissions tab,"Give informative images/icons a text alternative that conveys the same information (Icon `name` is not an alt text — pass `aria-label`); mark purely decorative graphics `aria-hidden=""true""` with an empty accessible name.",,,"alt-text-decorative-inappropriate, alt-text-different, alt-text-missing, image-alt",A11Y-002,"2339096, 2339097, 2339098, 2339099, 2339100, 2339101, 2339102, 2339103, 2339104, 2339105, 2339106, 2339107, 2339108, 2339109, 2339110, 2339111, 2339112, 2339113, 2340509, 2353890, 2354346, 2354583, 2354601, 2354673, 2354674, 2354675, 2354676, 2354677, 2354678, 2354679, 2354680, 2354681, 2354682, 2354683, 2354684, 2354685, 2354686, 2354687, 2354688, 2354689, 2354690, 2355406",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-008,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Calendar,core/components/organisms/calendar,No,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,2,0,2,"DS audit report, Innovaccer - Incare Web Audit MDS issues found",Calendar | Date Picker,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-043,"2342217, 2350978","https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d"
DS-009,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Custom interactive elements (missing role),,Yes — pin exact component before fixing,The element's role is missing or incorrect,4.1.2,"Name, Role, Value",A,Critical,2,6,9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-role-missing,A11Y-013,"2341138, 2349466, 2350444, 2353848, 2354582, 2354584, 2354603, 2355297, 2355633",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-010,P1,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"Icon/Avatar accept aria-label and set role=""img"" (Icon.tsx:144), so the app must label informative graphics; DS should additionally default unlabelled non-interactive icons to aria-hidden so decorative ones stop announcing their ligature text.",Fix required,Icon,core/components/atoms/icon,No,Text alternative does not present same info as image / Images must have alternative text,1.1.1,Non-text Content,A,Critical,2,0,2,"DS audit report, Innovaccer - Incare Web Audit MDS issues found",Chronic Care Management | Create password,"Give informative images/icons a text alternative that conveys the same information (Icon `name` is not an alt text — pass `aria-label`); mark purely decorative graphics `aria-hidden=""true""` with an empty accessible name.",,,"alt-text-different, image-alt",A11Y-044,"2350077, 2353861","https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d"
