Group ID,Exclusion Reason,Component / Area,Issue Summary,WCAG SC,SC Title,Max Impact,Occurrences,Deque Rule ID,Apps / Reports Affected,Recommended Remediation,Deque Issue IDs
A11Y-015,Product / page-level defect — not fixable in the DS,N/A — product layout (reflow),Info or functionality is lost due to overlapping content at 320px equivalent / Info or functionality is unavailable at 320px width equivalent / Content does not reflow to fit 320px width equivalent,1.4.10,Reflow,Serious,8,"content-horizontal-scroll, content-reflow-content-lost, content-reflow-content-missing",Innovaccer - User Admin and Help Guide Web Audit,"Support reflow at 320 CSS px with no two-dimensional scrolling — no fixed pixel widths, allow wrapping, and keep all content reachable.","2340723, 2340725, 2341137, 2345842, 2346220, 2349652, 2349653, 2353987"
A11Y-022,Product / page-level defect — not fixable in the DS,N/A — page markup (<html lang>),<html> element must have a valid value for the lang attribute,3.1.1,Language of Page,Serious,5,html-lang-valid,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Set a valid `lang` attribute on the `<html>` element of the page/iframe.,"2339095, 2340439, 2340508, 2340909, 2354672"
A11Y-023,Product / page-level defect — not fixable in the DS,N/A — page markup (<title>),Page TITLE element does not identify purpose of page,2.4.6,Headings and Labels,Serious,5,title-not-meaningful,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.","2340737, 2345690, 2346219, 2355266, 2355725"
A11Y-024,Product / page-level defect — not fixable in the DS,N/A — page markup (iframe),Frames must have an accessible name,4.1.2,"Name, Role, Value",Serious,5,frame-title,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.","2339094, 2340438, 2340507, 2340908, 2354671"
A11Y-025,Product / page-level defect — not fixable in the DS,N/A — product DOM order,Correct reading order of dynamic content not determinable,1.3.2,Meaningful Sequence,Serious,5,new-content-bad-location,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.","2341392, 2354592, 2354594, 2354598, 2355409"
A11Y-031,Product / page-level defect — not fixable in the DS,N/A — product layout (text zoom),Functionality is lost at 200% zoom,1.4.4,Resize text,Serious,4,resize-text-function-lost,Innovaccer - User Admin and Help Guide Web Audit,Keep all content and function available at 200% text zoom — use relative units (`rem`) and avoid fixed heights that clip or hide controls.,"2341133, 2349651, 2354216, 2355324"
A11Y-040,Product / page-level defect — not fixable in the DS,N/A — product DOM order,Hidden content is readable with a screen reader,1.3.2,Meaningful Sequence,Serious,3,reading-order-hidden-content,Innovaccer - User Admin and Help Guide Web Audit,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.","2345099, 2354414, 2355424"
A11Y-045,Product / page-level defect — not fixable in the DS,N/A — product DOM order,Reading order of static content changes meaning,1.3.2,Meaningful Sequence,Critical,2,reading-order-not-logical,Innovaccer - User Admin and Help Guide Web Audit,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.","2345602, 2346106"
A11Y-054,3rd-party content (Helpjuice) — outside DS and product control,Link,Purpose of link is not clear in context,2.4.4,Link Purpose (In Context),Serious,2,link-purpose-unclear,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","Make link purpose clear from the link text alone, or supplement it with `aria-label` / visually hidden text.","2341914, 2355100"
A11Y-066,Product / page-level defect — not fixable in the DS,N/A — 3rd-party media player,Multimedia player cannot play audio description track,1.2.5,Audio Description (Prerecorded),Critical,1,s508-video-player-no-ad-track,Innovaccer - User Admin and Help Guide Web Audit,Provide an audio-description track for pre-recorded video content.,2341104
A11Y-067,Product / page-level defect — not fixable in the DS,N/A — 3rd-party media player,Multimedia player cannot display closed captions,1.2.2,Captions (Prerecorded),Critical,1,s508-video-player-no-captions,Innovaccer - User Admin and Help Guide Web Audit,Provide synchronised captions for pre-recorded video/audio content in the media player.,2341109
A11Y-068,Product / page-level defect — not fixable in the DS,N/A — product aria-hidden usage,"aria-hidden=""true"" is used incorrectly",1.3.1,Info and Relationships,Critical,1,semantic-hidden,Innovaccer - User Admin and Help Guide Web Audit,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",2350574
A11Y-088,Product / page-level defect — not fixable in the DS,Calendar,Info or functionality is unavailable at 320px width equivalent,1.4.10,Reflow,Serious,1,content-reflow-content-missing,Innovaccer - Incare Web Audit MDS issues found,"Support reflow at 320 CSS px with no two-dimensional scrolling — no fixed pixel widths, allow wrapping, and keep all content reachable.",2342289
A11Y-091,Product / page-level defect — not fixable in the DS,Collapsible,Info or functionality is unavailable at 320px width equivalent,1.4.10,Reflow,Serious,1,content-reflow-content-missing,Innovaccer - Incare Web Audit MDS issues found,"Support reflow at 320 CSS px with no two-dimensional scrolling — no fixed pixel widths, allow wrapping, and keep all content reachable.",2344882
A11Y-097,Product / page-level defect — not fixable in the DS,Dropdown,Correct reading order of dynamic content not determinable,1.3.2,Meaningful Sequence,Serious,1,new-content-bad-location,Innovaccer - Incare Web Audit MDS issues found,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.",2374349
A11Y-109,3rd-party content (Helpjuice) — outside DS and product control,Labelled controls (Input / Button / Select),Accessible name does not contain visible label,2.5.3,Label in Name,Serious,1,speech-accessible-name-mismatch,Innovaccer - User Admin and Help Guide Web Audit,"Ensure the accessible name contains the visible label text, in the same order, so speech-input users can target the control by name.",2347966
A11Y-113,Product / page-level defect — not fixable in the DS,N/A — page markup (lang attribute),Value of the lang attribute is not valid,3.1.2,Language of Parts,Serious,1,lang-invalid,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,Mark passages in a different language with a valid `lang` attribute on the containing element.,2355395
A11Y-114,Product / page-level defect — not fixable in the DS,N/A — product focus management,Hidden or empty element receives focus,2.4.3,Focus Order,Serious,1,focus-on-hidden-item,Innovaccer - User Admin and Help Guide Web Audit,"Keep focus order logical and trap focus inside modals/overlays: move focus to the dialog on open, cycle within it, restore focus to the trigger on close, and never focus visually hidden items.",2355423
A11Y-115,Product / page-level defect — not fixable in the DS,N/A — product focus order,Keyboard focus order is not logical,2.4.3,Focus Order,Serious,1,tab-order-illogical,Innovaccer - User Admin and Help Guide Web Audit,"Keep focus order logical and trap focus inside modals/overlays: move focus to the dialog on open, cycle within it, restore focus to the trigger on close, and never focus visually hidden items.",2340030
