Group ID,Scope,DS Component,DS Source Path,Open Occurrences,Fixed Occurrences,Out of Scope Occurrences,Not Applicable Occurrences,Auditor Status Breakdown,Component Attribution Confidence,Issue Summary,Deque Rule ID,WCAG SC,SC Title,WCAG 2.2 Level,Guideline,Principle,Max Impact,Duplicate Occurrences,Impact Breakdown,Source Reports,Deque Issue IDs,Auditor Issue Links,Auditor Link Precision,Auditor Test Run URLs,Test Run Names,Affected Test Units,Recommended Remediation,Remediation Status,Fixed in DS Version (CHANGELOG match),CHANGELOG Evidence
A11Y-001,Design System — tokens,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",6,1,57,0,"Fixed:1, Open:6, Out of scope:57",Medium (inferred from Deque rule id),Text content lacks 4.5:1 contrast ratio / Elements must meet minimum color contrast ratio thresholds / Text over an image lacks 4.5:1 contrast ratio,"color-contrast, contrast-text-4.5-1, contrast-text-4.5-1-over-image",1.4.3,Contrast (Minimum),AA,1.4 Distinguishable,1 Perceivable,Serious,64,Serious:64,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339067, 2339068, 2339069, 2339070, 2339071, 2339072, 2339073, 2339074, 2339075, 2339076, 2339077, 2339078, 2339079, 2339080, 2339081, 2339082, 2339083, 2339084, 2339085, 2339086, 2339087, 2339088, 2339089, 2339090, 2339091, 2340504, 2340917, 2342012, 2346099, 2353689, 2353690, 2354053, 2354054, 2354585, 2354644, 2354645, 2354646, 2354647, 2354648, 2354649, 2354650, 2354651, 2354652, 2354653, 2354654, 2354655, 2354656, 2354657, 2354658, 2354659, 2354660, 2354661, 2354662, 2354663, 2354664, 2354665, 2354666, 2354667, 2354668, 2355103, 2355206, 2355210, 2355313, 2355407","2339067
2339068
2339069
2339070
2339071
2339072
2339073
2339074
2339075
2339076
2339077
2339078
2339079
2339080
2339081
2339082
2339083
2339084
2339085
2339086
2339087
2339088
2339089
2339090
2339091
2340504
2340917
2342012
2346099
2353689
2353690
2354053
2354054
2354585
2354644
2354645
2354646
2354647
2354648
2354649
2354650
2354651
2354652
2354653
2354654
2354655
2354656
2354657
2354658
2354659
2354660
2354661
2354662
2354663
2354664
2354665
2354666
2354667
2354668
2355103
2355206
2355210
2355313
2355407",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Footer | Help - DAP - Overview | Help Center | Own User details page | Search Combobox | Search and fill out form,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,Partially fixed — 6 of 64 occurrences still open per auditor,,
A11Y-002,Design System — component,Icon / Avatar (image alt),"core/components/atoms/icon, core/components/atoms/avatar",3,1,38,0,"Fixed:1, Open:3, Out of scope:38",Medium (inferred from Deque rule id),Text alternative for the informative image is missing / The decorative image is not hidden from screen readers / Images must have alternative text / Text alternative does not present same info as image,"alt-text-decorative-inappropriate, alt-text-different, alt-text-missing, image-alt",1.1.1,Non-text Content,A,1.1 Text Alternatives,1 Perceivable,Critical,42,"Critical:39, Serious:1, Moderate:2","Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339096, 2339097, 2339098, 2339099, 2339100, 2339101, 2339102, 2339103, 2339104, 2339105, 2339106, 2339107, 2339108, 2339109, 2339110, 2339111, 2339112, 2339113, 2340509, 2353890, 2354346, 2354583, 2354601, 2354673, 2354674, 2354675, 2354676, 2354677, 2354678, 2354679, 2354680, 2354681, 2354682, 2354683, 2354684, 2354685, 2354686, 2354687, 2354688, 2354689, 2354690, 2355406","2339096
2339097
2339098
2339099
2339100
2339101
2339102
2339103
2339104
2339105
2339106
2339107
2339108
2339109
2339110
2339111
2339112
2339113
2340509
2353890
2354346
2354583
2354601
2354673
2354674
2354675
2354676
2354677
2354678
2354679
2354680
2354681
2354682
2354683
2354684
2354685
2354686
2354687
2354688
2354689
2354690
2355406",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Header | Help Center | Level of Access - Permissions tab,"Give informative images/icons a text alternative that conveys the same information (Icon `name` is not an alt text — pass `aria-label`); mark purely decorative graphics `aria-hidden=""true""` with an empty accessible name.",Partially fixed — 3 of 42 occurrences still open per auditor,,
A11Y-003,Design System — tokens,Design tokens — focus ring,"css/src/tokens/index.css, css/src/variables/index.css",0,24,0,0,Fixed:24,Medium (inferred from Deque rule id),Focus indicator lacks 3 to 1 contrast ratio,contrast-focus-indicator,1.4.11,Non-text Contrast,AA,1.4 Distinguishable,1 Perceivable,Serious,24,Serious:24,Innovaccer - User Admin and Help Guide Web Audit,"2339878, 2340074, 2340075, 2341135, 2341161, 2341292, 2341668, 2341674, 2345101, 2345840, 2349461, 2349463, 2349465, 2349642, 2349649, 2350443, 2353836, 2353837, 2353838, 2353877, 2353880, 2353881, 2353886, 2354387","2339878
2340074
2340075
2341135
2341161
2341292
2341668
2341674
2345101
2345840
2349461
2349463
2349465
2349642
2349649
2350443
2353836
2353837
2353838
2353877
2353880
2353881
2353886
2354387",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin - Secondary Header | Admin Overview | Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page | Roles,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",Fixed — validated by auditor (24 closed); DS version not identifiable from CHANGELOG,,
A11Y-004,Design System — component,Interactive components (keyboard operability),,4,8,2,0,"Fixed:8, Open:4, Out of scope:2",Medium (inferred from Deque rule id),Function cannot be performed by keyboard alone,keyboard-inaccessible,2.1.1,Keyboard,A,2.1 Keyboard Accessible,2 Operable,Critical,14,Critical:14,Innovaccer - User Admin and Help Guide Web Audit,"2338868, 2340031, 2340179, 2340404, 2340838, 2341132, 2341338, 2341658, 2341909, 2345102, 2350437, 2350445, 2353883, 2355687","2338868
2340031
2340179
2340404
2340838
2341132
2341338
2341658
2341909
2345102
2350437
2350445
2353883
2355687",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin - Secondary Header | Admin Overview | Base Role | Help - DAP - Overview | Level of Access - Date Access tab | Level of Access - Permissions tab | Roles,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",Partially fixed — 4 of 14 occurrences still open per auditor,,
A11Y-005,Design System — tokens,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",4,3,7,0,"Fixed:3, Open:4, Out of scope:7",Medium (inferred from Deque rule id),State of active component lacks 3 to 1 contrast ratio / Active user interface component lacks 3 to 1 contrast ratio / An icon lacks 3 to 1 contrast ratio,"contrast-graphical-objects-icon-3-1, contrast-uic-active-3-1, contrast-uic-active-3-1-state",1.4.11,Non-text Contrast,AA,1.4 Distinguishable,1 Perceivable,Serious,14,Serious:14,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340073, 2340920, 2341664, 2347951, 2347957, 2347963, 2353649, 2353984, 2354419, 2354596, 2355102, 2355212, 2355215, 2355329","2340073
2340920
2341664
2347951
2347957
2347963
2353649
2353984
2354419
2354596
2355102
2355212
2355215
2355329",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Footer | How can we improve this article dialog | Level of Access - Date Access tab | Roles | Search Combobox | Search and fill out form,"Ensure non-text contrast ≥ 3:1 against adjacent colours for focus indicators, active/selected UI-component boundaries, and meaningful icons; use the focus-ring and border tokens rather than hard-coded colours.",Partially fixed — 4 of 14 occurrences still open per auditor,,
A11Y-006,Design System — component,Navigation (list markup),core/components/organisms/navigation,5,7,0,1,"Fixed:7, Not applicable:1, Open:5",Medium (inferred from Deque rule id),"<ul> and <ol> must only directly contain <li>, <script> or <template> elements / <li> elements must be contained in a <ul> or <ol> / Visual list is not marked up as list","list, listitem, semantic-list",1.3.1,Info and Relationships,A,1.3 Adaptable,1 Perceivable,Serious,13,Serious:13,"Innovaccer - DAP and Analytics Web Audit - Retest, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2353786, 2353787, 2353788, 2353789, 2353790, 2353791, 2353792, 2353878, 2353900, 2354586, 2355307, 2355325, 2711518","2353786
2353787
2353788
2353789
2353790
2353791
2353792
2353878
2353900
2354586
2355307
2355325
2711518: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/51419cb2-5ea3-417f-8b76-e577d72ee12c","Mixed — some occurrences deep-linked, others test-run only","https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510",Innovaccer - DAP and Analytics Web Audit - Retest_06-09-26-12:25,Admin - Secondary Header | Admin Overview | Base Role | Header | Level of Access - Date Access tab | Level of Access - Permissions tab,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",Partially fixed — 5 of 13 occurrences still open per auditor,,
A11Y-007,Design System — component,Input / Label,"core/components/atoms/input, core/components/atoms/label",4,7,0,0,"Fixed:7, Open:4",Medium (inferred from Deque rule id),Form elements must have labels,label,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,11,Critical:11,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339194, 2339311, 2346100, 2346101, 2346102, 2346103, 2350036, 2350037, 2350038, 2350039, 2354496","2339194
2339311
2346100
2346101
2346102
2346103
2350036
2350037
2350038
2350039
2354496",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Level of Access - Date Access tab | Own User details page | Roles,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 4 of 11 occurrences still open per auditor,,
A11Y-008,Design System — component,Button / Link,"core/components/atoms/button, core/components/atoms/link",7,0,4,0,"Open:7, Out of scope:4",Medium (inferred from Deque rule id),ARIA commands must have an accessible name,aria-command-name,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Serious,11,Serious:11,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2338687, 2339066, 2339188, 2339310, 2340435, 2340503, 2340905, 2346098, 2350035, 2354491, 2354643","2338687
2339066
2339188
2339310
2340435
2340503
2340905
2346098
2350035
2354491
2354643",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Help - DAP - Overview | Help Center | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page | Roles,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 7 of 11 occurrences still open per auditor,,
A11Y-009,Design System — component,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",7,3,0,0,"Fixed:3, Open:7",Medium (inferred from Deque rule id),Expand/collapse state of the element is missing or incorrect,state-aria-expanded-missing-incorrect,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Serious,10,Serious:10,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2338939, 2345096, 2350495, 2353882, 2354342, 2354350, 2354581, 2354588, 2354597, 2355704","2338939
2345096
2350495
2353882
2354342
2354350
2354581
2354588
2354597
2355704",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin - Secondary Header | Admin Overview | Base Role | Header | Level of Access - Date Access tab | Level of Access - Permissions tab,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 7 of 10 occurrences still open per auditor,,
A11Y-010,Design System — component,Link,core/components/atoms/link,5,3,2,0,"Fixed:3, Open:5, Out of scope:2",Medium (inferred from Deque rule id),Text content lacks 4.5:1 contrast ratio / Control text lacks 4.5:1 contrast ratio on hover or focus,"contrast-link-infocus-4.5-1, contrast-text-4.5-1",1.4.3,Contrast (Minimum),AA,1.4 Distinguishable,1 Perceivable,Serious,10,Serious:10,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Web Audit","2340916, 2341911, 2342010, 2342011, 2342014, 2342522, 2353648, 2353884, 2353902, 2354321","2340916
2341911
2342010
2342011
2342014
2342522: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/32254e40-b09f-11f0-b891-8b08e8cb29e4
2353648
2353884
2353902
2354321","Mixed — some occurrences deep-linked, others test-run only","https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510",Innovoccer - Case and Care Management Web Audit_10-21-25-05:06,Admin - Secondary Header | Admin Overview | Footer | Help - DAP - Overview | Patients,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,Partially fixed — 5 of 10 occurrences still open per auditor,,
