Action ID,Priority,Issue ID,Audit Name,Source Report File,Source Row Number,DS Component,DS Source Path,WCAG SC,Issue Summary,Impact,Auditor Validation Status,Raw Auditor Validation Value,Auditor Link,Fix Landed (fill in),Fixed in DS Version (fill in),Marked Fixed In Report (Y/N),Verified By (fill in)
DS-001,P1,2354492,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,20,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",4.1.2,Required ARIA attributes must be provided,Critical,Open,Not Fixed,,,,,
DS-001,P1,2354493,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,21,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",4.1.2,Required ARIA attributes must be provided,Critical,Open,Not Fixed,,,,,
DS-001,P1,2354494,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,22,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",4.1.2,Required ARIA attributes must be provided,Critical,Open,Not Fixed,,,,,
DS-001,P1,2354495,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,23,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",4.1.2,Required ARIA attributes must be provided,Critical,Open,Not Fixed,,,,,
DS-002,P1,2354337,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,12,Button,core/components/atoms/button,4.1.2,Button is missing both a role and a name,Critical,Open,Not Fixed,,,,,
DS-002,P1,2354339,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,13,Button,core/components/atoms/button,4.1.2,Button does not have a role,Serious,Open,Not Fixed,,,,,
DS-002,P1,2354343,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,15,Button,core/components/atoms/button,4.1.2,Button does not have a role,Serious,Open,Not Fixed,,,,,
DS-002,P1,2345596,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,116,Button,core/components/atoms/button,4.1.2,Buttons must have discernible text,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-003,P1,2350036,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,160,Input / Label,"core/components/atoms/input, core/components/atoms/label",4.1.2,Form elements must have labels,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-003,P1,2350037,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,161,Input / Label,"core/components/atoms/input, core/components/atoms/label",4.1.2,Form elements must have labels,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
